"Station Code","Station","Year","Month","Depth","lat","long","distTowed","GoodHaul","Day","Repeat","NonconsecRepeat","StudyType","group","cpue","species","age","stock"
"061698CR07A","CR07",1998,"June",76.8096008300781,46.17,-124.15,2.11916899681091,1,1,0,0,"Regular","Chinook salmon subyearling Interior_Fa",2.45379203254925,"Chinook","subyearling","Interior_Fa"
"061698CR07A","CR07",1998,"June",76.8096008300781,46.17,-124.15,2.11916899681091,1,1,0,0,"Regular","Chinook salmon subyearling N_OR_Cst",0,"Chinook","subyearling","N_OR_Cst"
"061698CR07A","CR07",1998,"June",76.8096008300781,46.17,-124.15,2.11916899681091,1,1,0,0,"Regular","Chinook salmon subyearling OP",0,"Chinook","subyearling","OP"
"061698CR07A","CR07",1998,"June",76.8096008300781,46.17,-124.15,2.11916899681091,1,1,0,0,"Regular","Chinook salmon subyearling SCG_F",3.06724004068656,"Chinook","subyearling","SCG_F"
"061698CR07A","CR07",1998,"June",76.8096008300781,46.17,-124.15,2.11916899681091,1,1,0,0,"Regular","Chinook salmon subyearling WC_F",0,"Chinook","subyearling","WC_F"
"061698CR07A","CR07",1998,"June",76.8096008300781,46.17,-124.15,2.11916899681091,1,1,0,0,"Regular","Chinook salmon subyearling WR_Sp",0,"Chinook","subyearling","WR_Sp"
"061698CR07A","CR07",1998,"June",76.8096008300781,46.17,-124.15,2.11916899681091,1,1,0,0,"Regular","Chinook salmon yearling Interior_Fa",0,"Chinook","yearling","Interior_Fa"
"061698CR07A","CR07",1998,"June",76.8096008300781,46.17,-124.15,2.11916899681091,1,1,0,0,"Regular","Chinook salmon yearling Interior_Sp",0,"Chinook","yearling","Interior_Sp"
"061698CR07A","CR07",1998,"June",76.8096008300781,46.17,-124.15,2.11916899681091,1,1,0,0,"Regular","Chinook salmon yearling WC_Sp",1.41564924954764,"Chinook","yearling","WC_Sp"
"061698CR07A","CR07",1998,"June",76.8096008300781,46.17,-124.15,2.11916899681091,1,1,0,0,"Regular","Chinook salmon yearling WR_Sp",0,"Chinook","yearling","WR_Sp"
"061698CR07A","CR07",1998,"June",76.8096008300781,46.17,-124.15,2.11916899681091,1,1,0,0,"Regular","Coho salmon yearling Columbia",0,"Coho","yearling","Columbia"
"061698CR07A","CR07",1998,"June",76.8096008300781,46.17,-124.15,2.11916899681091,1,1,0,0,"Regular","Coho salmon yearling N-COr",0,"Coho","yearling","N-COr"
"061698CR07A","CR07",1998,"June",76.8096008300781,46.17,-124.15,2.11916899681091,1,1,0,0,"Regular","Coho salmon yearling PS",0,"Coho","yearling","PS"
"061698CR07A","CR07",1998,"June",76.8096008300781,46.17,-124.15,2.11916899681091,1,1,0,0,"Regular","Coho salmon yearling WaC",0,"Coho","yearling","WaC"
